id,points,color,type
1,"38,352,36,364,28,395,25,412,23,432,21,447,21,460,21,463,21,467,21,470,21,472,21,472,21,473,21,474,21,475,21,476,22,476,23,476,23,477,23,479,24,479,25,480,25,480,28,482,32,483,35,485,41,486,49,486,56,486,72,483,83,481,92,479,96,478,99,477,102,477,103,477,104,477,104,477,105,477,106,477,107,476,108,476,109,476,111,475,112,474,115,471,118,467,119,465,120,460,122,455,123,450,124,445,124,444,124,439,124,434,124,432,124,428,123,424,122,423,122,421,121,420,120,416,119,416,117,413,115,411,112,408,108,404,103,400,100,397,91,390,88,386,83,382,76,376,72,373,64,370,61,368,58,365,56,364,55,364",#008000,Area
2,"399,315,392,323,387,332,386,336,384,341,384,345,384,350,384,353,384,357,385,361,385,363,385,366,387,369,387,371,388,374,388,376,389,376,389,377,389,378,389,379,389,380,389,381,389,382,389,383,390,384,392,387,392,388,394,391,395,392,396,395,398,396,400,398,400,400,401,402,402,403,403,405,404,406,404,407,405,409,406,410,407,412,407,413,407,415,408,415,408,417,409,418,409,419,410,420,412,421,412,423,412,423,413,424,414,424,415,424,416,425,416,426,416,427,417,427,417,428,418,428,419,429,420,429,420,430,421,432,423,432,424,433,425,434,427,435,427,436,428,436,428,436,429,436,429,437,430,437,431,437,432,437,432,437,432,436,432,436,433,436,433,435,433,434,433,432,433,432,433,430,433,428,432,425,432,423,430,420,429,419,429,417,428,416,428,415,428,413,428,412,428,412,427,411,427,410,426,409,426,408,425,408,424,407,424,406,424,405,424,404,424,404,424,403,424,402,424,401,424,400,424,399,424,398,424,396,424,395,424,393,424,392,425,390,425,389,425,388,427,384,427,383,427,380,428,376,429,374,430,373,431,370,432,368,432,368,432,366,432,365,432,364,432,363,432,362,432,361,432,360,432,360,432,359,432,358,433,358,433,357,433,356,433,356,434,356,434,355,434,354,434,353,434,352,434,352,434,351,434,350,434,348,434,347,433,347,432,344,432,344,432,343,431,342,430,340,428,340,428,338,426,336,424,335,423,333,421,332,420,331,420,330,417,329,416,328,416,327,413,326,412,326,412,325,411,324,410,323,409,322,408,322,408,320,408,320,407,318,406,318,406,317,406,316,405,316,404,315,404,314,404,313",#008000,Area
3,"291,187,291,186,291,185,291,184,291,183,291,182,291,180,291,179,291,178,291,177,291,176,291,174,291,173,291,172,292,172,292,171,292,171,292,170,293,169,293,168,293,168,294,167,295,167,295,166,296,165,296,165,296,164,296,164,297,163,298,163,299,162,299,161,300,161,300,160,300,160,301,160,302,159,303,158,303,157,303,156,303,156,302,154,302,153,301,152,301,152,300,151,300,150,299,149,299,148,298,148,297,148,297,147,296,147,296,146,295,145,294,145,293,145,292,145,291,145,290,145,289,145,288,146,288,146,287,146,286,147,286,148,285,148,284,148,284,148,284,149,283,149,282,149,281,149,280,149,279,148,278,148,277,148,276,147,276,147,275,147,274,146,273,145,272,144,272,144,271,144,271,144,269,142,268,142,268,141,267,141,267,140,266,140,265,140,264,140,264,140,263,140,262,140,261,140,260,140,260,140,260,141,259,142,259,143,259,144,258,144,258,145,257,146,257,147,257,148,257,148,257,149,257,150,257,152,257,152,257,153,257,154,258,155,258,156,258,156,258,157,259,157,260,159,260,160,260,160,260,161,260,162,261,163,262,164,263,164,263,165,264,166,264,166,265,168,266,168,266,169,267,169,268,170,268,171,268,172,269,172,270,173,272,174,272,175,272,176,273,176,274,176,275,176,275,177,276,177,276,178,276,178,276,179,277,179,279,179,279,180,280,180,280,181,281,182,282,182,283,182,283,183,284,184,284,184,285,184,286,184,287,184,288,185,289,185,290,185,291,186,292,186,292,187,294,187,295,188,296,188,296,188,297,188,298,188",#008000,Area
4,"164,452,163,451,160,449,159,448,155,444,149,436,142,428,138,421,128,408,113,388,100,365,92,344,88,332,83,320,79,299,76,281,76,262,76,244,81,225,85,215,90,202,94,196,97,190,100,185,107,180,114,172,129,162,137,157,150,152,166,148,188,144,200,142,216,143,234,144,246,146,267,153,278,161,291,171,300,181,308,190,313,202,320,220,323,244,323,258,322,270,317,294,313,310,310,320,306,329,297,350,290,361,284,375,278,384,272,394,264,403,248,419,244,424,238,430,235,432,232,436,227,439,223,440,217,440",#ff0000,Area
5,"620,527",#008000,Point
6,"656,408,653,405,652,404,650,400,648,397,647,395,646,392,646,388,647,380,648,367,648,359,652,349,663,320,669,311,675,304,680,299,692,288,699,284,702,283,707,282,713,280,720,281,728,282,732,283,742,288",#008000,Area
7,"310,265,291,271,280,274,268,277,260,278,255,279,245,280,237,281,230,282,225,282,220,283,200,284,188,284,178,284,166,283,154,280,140,277,132,275,124,272,115,268,107,264,100,260,94,255,88,251,84,244,77,238,71,233,68,228,64,224,62,220,60,219,58,216,56,211,55,208,53,200,52,197,52,192,52,188,52,184,52,181,52,172,52,170,52,167,53,164,53,160,53,158,54,157,56,154,57,152,59,149,64,144,67,142,71,140,74,138,87,134,96,133,107,132,127,132,142,136,155,140,167,144,181,152,191,158,203,168,208,172,212,177,226,196,230,207,231,214,234,220,236,231,238,240,241,256,244,265,248,278,249,280,251,282,252,284,252,286,253,288,254,288,255,291,256,292,256,293,256,294,256,295,256,296",#008000,Area
